name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pune,2022-01-01,27.8,14.1,20.5,28.5,14.1,20.6,15.6,75.6,0,0,0,,0,0,34.9,14.8,89.9,1018.1,30.4,6,199.3,17.3,7,,2022-01-01T07:06:55,2022-01-01T18:09:18,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-02,27.3,16.4,20.9,27.8,16.4,21,16.2,76.2,0,0,0,,0,0,32,12.6,88.2,1016.4,34.7,5.5,157.6,13.6,6,,2022-01-02T07:07:15,2022-01-02T18:09:55,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-03,28.8,15.7,21.3,28.8,15.7,21.3,15.7,72.8,0,0,0,,0,0,31.7,13.3,88.6,1015.8,30.3,5.5,192.8,16.7,8,,2022-01-03T07:07:34,2022-01-03T18:10:31,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-04,27.5,15.6,20.8,27.4,15.6,20.8,14.5,70.2,0,0,0,,0,0,27.4,10.4,82.2,1015.7,16.2,5.5,211.7,18.3,8,,2022-01-04T07:07:52,2022-01-04T18:11:08,0.05,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-05,30.1,14.7,20.7,29.5,14.7,20.7,14.4,69.9,0,0,0,,0,0,27.4,10.4,133.5,1015.2,6.1,5.5,211.9,18.3,8,,2022-01-05T07:08:09,2022-01-05T18:11:46,0.08,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-06,28.8,14.9,20.7,28.3,14.9,20.7,15.7,75.9,0,0,0,,0,0,26.6,10.1,278.8,1014.1,40.6,5.5,198.4,17.1,8,,2022-01-06T07:08:25,2022-01-06T18:12:23,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-07,28.6,15.4,20.6,28.2,15.4,20.6,15.7,77.4,0,0,0,,0,0,33.5,13.7,226.3,1013.5,34.5,5.5,197,17,7,,2022-01-07T07:08:40,2022-01-07T18:13:01,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-08,30.1,14.9,20.4,28.3,14.9,20.3,15.2,76.7,0,0,0,,0,0,22.3,9,253.8,1014.2,55.7,6,151.4,13,6,,2022-01-08T07:08:53,2022-01-08T18:13:39,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-09,27,17.1,20.5,27.2,17.1,20.5,16.4,79.1,3.4,100,37.5,rain,0,0,29.9,13,296.8,1013.9,66.3,6.3,138.8,11.9,6,,2022-01-09T07:09:06,2022-01-09T18:14:17,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"43063099999,43111099999,remote,43060099999"
pune,2022-01-10,27.5,12.7,18.5,27.1,12.7,18.5,12.2,69.6,0,0,0,,0,0,28.1,11.5,270,1013.9,12,12.2,215.4,18.6,8,10,2022-01-10T07:09:17,2022-01-10T18:14:55,0.25,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-11,26.3,12.6,17.9,26.3,12.6,17.9,12.6,74.4,0,0,0,,0,0,28.1,10.8,264,1014.2,19,17.9,214.1,18.6,8,10,2022-01-11T07:09:27,2022-01-11T18:15:34,0.28,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-12,24.6,12.2,17.7,24.6,12.2,17.7,13.2,77.7,0,0,0,,0,0,36.4,13,52.1,1013.8,37.9,17.9,191.2,16.5,7,10,2022-01-12T07:09:36,2022-01-12T18:16:12,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-13,25,12.7,17.8,25,12.7,17.8,14.2,80.9,0,0,0,rain,0,0,30.2,12.2,119.2,1013.1,59.1,17.9,134.2,11.5,5,10,2022-01-13T07:09:43,2022-01-13T18:16:50,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-14,25.6,14.6,18.7,25.6,14.6,18.7,14.3,78.6,0.1,100,4.17,rain,0,0,25.2,7.9,321.4,1013.1,53.2,17.9,149.6,13,7,10,2022-01-14T07:09:50,2022-01-14T18:17:29,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2022-01-15,25.3,14,18.5,25.3,14,18.5,13.7,75.8,0,0,0,,0,0,32.8,13.7,69.3,1014.4,36.3,17.9,213.5,18.4,8,10,2022-01-15T07:09:55,2022-01-15T18:18:07,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-16,25.6,12.9,19.1,25.6,12.9,19.1,14.1,74.8,0,0,0,,0,0,46.4,19.8,96.7,1015.4,34.6,17.9,186.5,16.1,7,10,2022-01-16T07:09:59,2022-01-16T18:18:45,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-17,26.7,15.4,20.3,26.7,15.4,20.3,15.9,77.6,0.1,100,4.17,rain,0,0,35.6,14.4,99.9,1017.3,48.7,17.9,171.5,14.6,6,10,2022-01-17T07:10:01,2022-01-17T18:19:23,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"43063099999,43111099999,remote,43060099999"
pune,2022-01-18,28.5,14.4,20.6,28.2,14.4,20.6,14.7,72.2,0,0,0,,0,0,26.3,9,63.5,1016.3,6.9,17.9,221.5,19.1,8,10,2022-01-18T07:10:03,2022-01-18T18:20:01,0.5,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-19,30,13.7,20.8,28.9,13.7,20.7,13.1,66,0,0,0,,0,0,22.3,6.8,42,1014.8,1.3,18.7,228.1,19.6,8,10,2022-01-19T07:10:03,2022-01-19T18:20:39,0.54,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2022-01-20,31.1,13.1,21.4,29.1,13.1,21.1,11,57.4,0,0,0,,0,0,29.2,12.2,298.9,1012.6,2.5,18.2,230.3,20.1,8,10,2022-01-20T07:10:02,2022-01-20T18:21:16,0.58,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
