name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pune,2020-01-01,30,11.9,19.7,28.3,11.9,19.6,12.6,67.1,0,0,0,,0,0,32.4,13.7,234.9,1014.2,4.3,6.3,211,18.2,8,,2020-01-01T07:06:43,2020-01-01T18:08:59,0.19,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-02,29.8,13.9,20.3,28.6,13.9,20.3,13.9,69.9,0,0,0,,0,0,30.6,14,267.7,1016.2,6.5,6.3,209.3,18,8,,2020-01-02T07:07:04,2020-01-02T18:09:35,0.23,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-03,26,13.4,18.9,26,13.4,18.9,14.2,77.4,0,0,0,,0,0,22,9,289.6,1015.9,42.9,6,206.5,17.9,8,,2020-01-03T07:07:24,2020-01-03T18:10:12,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-04,25,12.4,17.8,25,12.4,17.8,14.1,80.6,0,0,0,,0,0,26.3,8.3,67.3,1014.6,43,5.3,177.4,15.4,6,,2020-01-04T07:07:42,2020-01-04T18:10:48,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-05,24.8,13.2,18.4,24.8,13.2,18.4,13.8,76.4,0,0,0,,0,0,39.2,16.2,87.8,1014.8,17.6,5.5,197.4,17,7,,2020-01-05T07:08:00,2020-01-05T18:11:26,0.32,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-06,27.3,13.9,20.3,27.7,13.9,20.4,15.2,73.8,0,0,0,,0,0,41.8,17.6,97.5,1015.8,23.4,6.3,200.8,17.3,7,,2020-01-06T07:08:16,2020-01-06T18:12:03,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-07,30.1,15.4,22.2,31,15.4,22.4,17.2,75.2,0,0,0,,0,0,31,11.2,171.7,1014.4,39.9,6,163.9,14.2,6,,2020-01-07T07:08:31,2020-01-07T18:12:41,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-08,27.3,18.1,21.8,28.1,18.1,21.9,17.6,79.3,0,0,0,,0,0,38.2,16.9,268.5,1013.6,37.6,6.3,178.6,15.4,7,,2020-01-08T07:08:45,2020-01-08T18:13:19,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-09,25.9,15.2,19.8,25.9,15.2,19.8,15.6,78.9,0,0,0,,0,0,27.7,9.4,50.6,1014.4,54.4,5.5,206.6,17.8,8,,2020-01-09T07:08:58,2020-01-09T18:13:57,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-10,25.5,13.4,19.6,25.5,13.4,19.6,14.1,71.8,0,0,0,,0,0,38.2,16.2,89.8,1015,42.7,6.3,208,18,7,,2020-01-10T07:09:10,2020-01-10T18:14:35,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-11,26.9,15.1,20.5,27.4,15.1,20.5,15.6,75.2,0,0,0,,0,0,36,15.8,97.3,1015.9,42,5.3,191.7,16.5,7,,2020-01-11T07:09:21,2020-01-11T18:15:13,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-12,27.6,15.1,20.9,27.8,15.1,20.9,15.2,72,0,0,0,,0,0,29.5,11.5,88.5,1015.1,5.8,5.3,213.9,18.5,8,,2020-01-12T07:09:30,2020-01-12T18:15:51,0.55,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-13,28.8,15.9,21.3,28.7,15.9,21.3,16.4,76.9,0,0,0,,0,0,26.3,12.6,278.6,1013.2,31,6.6,195.8,16.9,8,,2020-01-13T07:09:39,2020-01-13T18:16:30,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-14,27.6,15.9,20.9,27.9,15.9,20.9,16.2,77.7,0,0,0,,0,0,24.8,9,287.1,1013,46.5,6.6,180.8,15.7,7,,2020-01-14T07:09:46,2020-01-14T18:17:08,0.62,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-15,29.8,14.9,19.9,28.6,14.9,19.9,14.6,74.5,0,0,0,,0,0,36.4,15.1,275.8,1012.9,16.3,6.3,208.3,17.9,7,,2020-01-15T07:09:51,2020-01-15T18:17:46,0.66,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-16,25.1,13.2,18,25.1,13.2,18,11.3,67.7,0,0,0,,0,0,31.3,14.7,280.6,1014.3,4.4,7,224.4,19.4,8,,2020-01-16T07:09:56,2020-01-16T18:18:25,0.69,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-17,26.1,9.2,16.8,26.1,9.2,16.8,9.1,65.1,0,0,0,,0,0,22.7,8.3,343.2,1014.7,0.4,7,234.1,20.3,8,,2020-01-17T07:09:59,2020-01-17T18:19:03,0.75,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-18,28.1,10.7,18.5,27.8,10.7,18.5,11.5,66.2,0,0,0,,0,0,29.2,10.4,68.9,1014.2,10.8,5.5,222.4,19.2,8,,2020-01-18T07:10:01,2020-01-18T18:19:41,0.76,Clear,Clear conditions throughout the day.,clear-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-19,28.5,13.9,20.7,28.6,13.9,20.7,14.6,70.7,0,0,0,,0,0,28.1,9,48.6,1014.5,20.1,6.3,213.4,18.4,8,,2020-01-19T07:10:02,2020-01-19T18:20:18,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
pune,2020-01-20,30.1,15.1,21.7,30.6,15.1,21.8,16,72,0,0,0,,0,0,29.5,11.2,80.4,1014.8,23.3,5.5,204.7,17.6,8,,2020-01-20T07:10:02,2020-01-20T18:20:56,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"43063099999,43111099999,remote,43060099999"
